Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2017,Jammu & Kashmir,Rabi,Alluvial,7.01,123.35,28.16,66.55,2.76,16.96,900,20,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1689.58,0.83,0.84
2007,Telangana,Kharif,Red,5.6,65.21,27.0,45.36,2.31,12.38,800,28,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,2133.33,0.61,0.61
2013,Rajasthan,Kharif,Alluvial,6.91,110.16,36.14,78.88,4.83,16.41,400,35,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1200.0,0.93,0.93
2015,Meghalaya,Zaid,Red,6.38,64.35,24.5,62.08,2.7,11.23,2500,15,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1769.52,0.66,0.66
2017,Arunachal Pradesh,Rabi,Forest,6.59,105.71,36.35,53.67,6.3,23.8,2500,15,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,2180.93,0.98,0.98
2011,Uttarakhand,Rabi,Mountain,6.33,93.23,16.9,53.22,2.73,18.61,1100,18,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1014.23,0.71,0.71
2011,Daman and Diu,Rabi,Sandy,6.14,55.6,18.68,34.62,1.89,13.0,800,27,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,934.23,0.54,0.54
2018,Sikkim,Zaid,Alluvial,7.15,105.62,34.83,70.97,3.21,17.18,2000,17,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2904.63,0.86,0.87
2013,Nagaland,Kharif,Laterite,5.91,119.22,17.89,35.15,1.54,5.18,1800,16,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1073.12,0.55,0.55
2020,Maharashtra,Rabi,Red,6.22,100.75,22.47,42.02,1.81,14.97,900,26,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1348.28,0.65,0.67
2020,Punjab,Rabi,Alluvial,7.1,80.55,22.74,77.0,4.62,20.97,600,23,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1364.26,0.86,0.86
2020,Ladakh,Rabi,Sandy,5.57,57.01,19.14,32.56,1.38,10.19,200,12,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,571.43,0.49,0.49
2010,Uttar Pradesh,Kharif,Alluvial,6.94,89.22,21.81,73.13,2.2,23.37,800,22,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,1308.4,0.8,0.8
2003,Tripura,Zaid,Alluvial,7.44,115.95,25.94,66.99,3.43,21.64,2000,16,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12971.22,0.88,0.9
2004,Kerala,Kharif,Alluvial,7.35,104.19,25.4,66.2,2.49,23.42,3000,19,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,2539.82,0.84,0.84
2012,Lakshadweep,Zaid,Sandy,6.12,56.19,16.23,34.23,1.34,8.52,1500,32,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4635.42,0.48,0.49
2010,Telangana,Kharif,Alluvial,7.47,109.91,29.19,52.28,2.23,15.02,800,28,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2133.33,0.76,0.76
2005,Bihar,Rabi,Alluvial,7.45,109.51,27.22,52.75,4.75,16.37,1100,22,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1633.17,0.85,0.85
2016,Karnataka,Kharif,Red,6.16,69.26,23.13,66.19,2.46,18.07,900,23,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,3964.89,0.71,0.71
2015,Puducherry,Zaid,Alluvial,7.44,122.46,24.99,64.68,2.66,24.88,1200,26,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12496.68,0.88,0.9
2014,Tamil Nadu,Rabi,Laterite,5.31,72.21,18.82,59.98,2.11,9.73,950,27,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,941.2,0.58,0.59
2014,Nagaland,Rabi,Laterite,5.47,104.87,14.46,57.73,2.94,14.44,1800,16,"['Maize', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,723.01,0.67,0.67
2019,Daman and Diu,Kharif,Sandy,5.85,83.78,13.19,44.87,1.04,10.96,800,27,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2261.32,0.53,0.53
2012,Mizoram,Zaid,Laterite,5.32,73.85,20.44,40.2,2.45,5.65,2200,14,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6029.44,0.53,0.54
2016,Haryana,Kharif,Alluvial,7.38,106.92,33.23,72.14,3.56,19.27,700,24,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,1866.67,0.89,0.89
2001,Madhya Pradesh,Kharif,Red,6.44,61.22,28.05,40.64,2.75,15.29,1000,27,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,4591.5,0.66,0.66
2002,West Bengal,Rabi,Laterite,5.48,73.5,10.14,31.58,1.18,5.38,1500,20,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,608.54,0.42,0.43
2015,Arunachal Pradesh,Zaid,Forest,6.74,104.95,39.68,70.73,7.09,24.21,2500,15,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,16491.68,1.06,1.07
2016,Dadra and Nagar Haveli,Kharif,Laterite,5.04,75.52,15.32,38.62,1.59,7.34,1800,25,"['Groundnut', 'Pigeon Pea', 'Okra']",Groundnut,90,400,20,30,50,1200,919.16,0.48,0.48
2000,Bihar,Zaid,Alluvial,7.46,125.52,20.9,53.28,3.17,16.24,1100,22,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2090.2,0.79,0.81
2004,Tamil Nadu,Kharif,Alluvial,6.97,119.32,21.79,62.53,4.64,24.45,950,27,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,1307.29,0.91,0.91
2012,Assam,Zaid,Alluvial,6.73,129.46,34.87,51.95,3.2,23.38,2200,18,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,17316.53,0.9,0.91
2018,Haryana,Zaid,Alluvial,7.28,105.63,24.61,55.3,2.66,16.86,700,24,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3281.79,0.77,0.78
2005,Daman and Diu,Rabi,Sandy,6.29,82.03,16.3,26.49,1.52,10.97,800,27,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,977.87,0.53,0.54
2009,Tamil Nadu,Zaid,Laterite,5.62,95.76,17.37,59.89,2.79,9.63,950,27,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2315.71,0.64,0.65
2014,Nagaland,Rabi,Laterite,5.27,71.74,23.42,55.8,1.91,8.91,1800,16,"['Rice', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1171.19,0.58,0.58
2008,Tamil Nadu,Rabi,Alluvial,7.24,82.22,37.04,51.06,2.99,24.32,950,27,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,2222.63,0.85,0.85
2001,Haryana,Kharif,Alluvial,6.58,100.42,27.45,57.79,4.17,19.96,700,24,"['Groundnut', 'Chickpea', 'Chili']",Groundnut,90,400,20,30,50,1200,1647.23,0.84,0.84
2015,Chhattisgarh,Zaid,Laterite,5.59,104.16,11.14,55.54,1.99,9.81,1300,25,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,3342.59,0.59,0.6
2002,Jammu & Kashmir,Rabi,Loamy,6.8,93.91,41.95,68.29,3.8,23.79,900,20,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1878.25,0.93,0.93
2007,Puducherry,Kharif,Red,6.43,72.26,17.36,44.81,1.67,12.39,1200,26,"['Maize', 'Pigeon Pea', 'Tomato']",Maize,110,600,35,50,80,6000,2976.02,0.58,0.58
2003,Manipur,Zaid,Laterite,5.03,100.93,21.29,34.76,2.76,13.72,1800,17,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5213.72,0.63,0.64
2009,Tamil Nadu,Zaid,Red,6.33,66.44,20.03,62.31,1.32,18.18,950,27,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10013.39,0.65,0.66
2011,Dadra and Nagar Haveli,Rabi,Laterite,5.26,70.32,14.31,48.51,2.96,11.32,1800,25,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,858.33,0.58,0.59
2012,Gujarat,Zaid,Alluvial,6.84,118.99,22.14,72.83,3.62,24.63,800,30,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6641.88,0.9,0.91
2014,Manipur,Rabi,Laterite,5.3,116.6,11.54,58.12,2.38,5.68,1800,17,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,576.88,0.58,0.58
2016,Assam,Kharif,Alluvial,7.35,118.55,34.17,64.21,2.17,15.75,2200,18,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,2050.29,0.82,0.82
2013,Chhattisgarh,Kharif,Laterite,5.02,118.67,24.53,52.49,1.26,12.58,1300,25,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,1962.65,0.64,0.64
2010,Telangana,Kharif,Red,5.66,101.08,20.58,64.56,1.51,10.01,800,28,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,1234.65,0.63,0.63
2001,Tripura,Kharif,Alluvial,7.19,129.86,28.52,63.54,2.49,22.95,2000,16,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,4889.76,0.88,0.88
2019,Andaman and Nicobar Islands,Kharif,Sandy,6.94,83.6,17.73,26.9,1.13,13.68,3000,30,"['Rice', 'Chickpea', 'Chili']",Rice,140,1500,40,60,100,4000,1772.82,0.56,0.56
2020,Tripura,Rabi,Forest,6.31,106.38,37.15,78.58,8.8,24.42,2000,16,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,2228.83,1.11,1.13
2005,Haryana,Rabi,Alluvial,7.36,91.5,24.26,50.93,3.96,18.69,700,24,"['Soybean', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1213.1,0.8,0.81
2015,Manipur,Zaid,Laterite,5.45,97.16,12.39,36.11,1.18,6.54,1800,17,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1238.87,0.49,0.5
2017,Ladakh,Rabi,Sandy,6.42,80.44,16.26,23.94,1.03,14.21,200,12,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,571.43,0.54,0.55
2013,Tamil Nadu,Kharif,Alluvial,7.06,103.1,20.02,67.95,3.82,17.48,950,27,"['Rice', 'Chickpea', 'Okra']",Rice,140,1500,40,60,100,4000,2002.46,0.81,0.81
2015,Odisha,Zaid,Laterite,5.31,94.58,10.96,47.46,1.54,12.98,1500,25,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,5481.57,0.56,0.57
2012,Daman and Diu,Zaid,Alluvial,7.22,87.48,29.29,70.41,3.19,24.75,800,27,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2405.67,0.87,0.89
2010,Dadra and Nagar Haveli,Kharif,Laterite,5.1,104.75,22.9,53.4,1.08,9.81,1800,25,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,1374.11,0.59,0.59
2016,Daman and Diu,Kharif,Alluvial,6.85,85.14,31.42,50.55,3.45,17.1,800,27,"['Groundnut', 'Pigeon Pea', 'Okra']",Groundnut,90,400,20,30,50,1200,1885.09,0.77,0.77
2007,Daman and Diu,Kharif,Sandy,5.55,50.39,13.26,35.53,1.09,8.51,800,27,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,795.88,0.44,0.44
2019,Lakshadweep,Kharif,Sandy,6.73,64.31,13.22,49.32,1.2,11.93,1500,32,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1322.09,0.55,0.55
2009,Nagaland,Zaid,Laterite,5.94,78.37,11.57,49.09,2.41,5.32,1800,16,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,3470.56,0.53,0.54
2006,Manipur,Zaid,Forest,6.78,94.52,25.98,77.41,9.74,26.25,1800,17,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3463.56,1.11,1.12
2014,Telangana,Rabi,Alluvial,6.95,120.74,21.6,76.84,3.64,23.17,800,28,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1296.14,0.9,0.91
2002,Punjab,Rabi,Alluvial,7.15,82.04,23.28,63.16,4.17,20.93,600,23,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1396.8,0.83,0.83
2012,Haryana,Zaid,Alluvial,6.93,110.79,26.58,64.11,4.23,23.72,700,24,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2658.03,0.9,0.92
2018,Andhra Pradesh,Zaid,Alluvial,6.99,88.08,20.42,69.6,3.0,20.42,900,20,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2722.3,0.79,0.8
2009,Chandigarh,Zaid,Alluvial,6.67,100.16,24.41,62.55,2.61,23.4,700,22,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3254.83,0.81,0.83
2020,Uttarakhand,Rabi,Mountain,7.48,89.09,24.85,42.76,2.69,13.71,1100,18,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1242.71,0.7,0.7
2017,Lakshadweep,Rabi,Sandy,6.81,84.68,15.79,33.16,1.73,9.87,1500,32,"['Maize', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,789.34,0.55,0.55
2001,Arunachal Pradesh,Kharif,Forest,6.38,101.72,33.1,79.69,6.42,23.59,2500,15,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,3310.02,1.01,1.01
2017,West Bengal,Rabi,Laterite,5.18,101.58,21.0,33.95,2.43,14.09,1500,20,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1259.8,0.62,0.62
2011,Odisha,Rabi,Red,5.6,78.64,22.69,52.39,1.14,14.37,1500,25,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1134.46,0.6,0.6
2014,Himachal Pradesh,Rabi,Mountain,6.47,83.72,21.59,49.88,2.19,16.52,1200,16,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1295.3,0.67,0.67
2001,Kerala,Kharif,Laterite,5.24,112.9,10.14,47.65,2.2,8.97,3000,19,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,810.84,0.57,0.57
2010,Haryana,Kharif,Alluvial,6.65,124.19,28.84,59.93,3.35,21.69,700,24,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1730.43,0.87,0.87
2004,Lakshadweep,Kharif,Sandy,5.56,59.95,16.17,41.2,1.17,6.68,1500,32,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,1293.72,0.46,0.46
2004,Meghalaya,Kharif,Laterite,5.86,87.84,18.0,53.45,2.41,9.46,2500,15,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,1800.27,0.61,0.61
2005,Rajasthan,Rabi,Alluvial,7.44,90.29,22.24,58.09,2.17,20.31,400,35,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1200.0,0.76,0.77
2000,Andhra Pradesh,Zaid,Alluvial,6.54,86.11,29.04,78.02,2.95,20.07,900,20,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,13530.86,0.82,0.84
2009,Meghalaya,Zaid,Red,6.47,79.87,22.2,60.58,1.03,13.23,2500,15,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2959.79,0.63,0.64
2006,Manipur,Zaid,Laterite,5.03,92.74,17.73,44.67,2.33,6.4,1800,17,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1773.39,0.55,0.56
2012,Uttarakhand,Zaid,Alluvial,7.23,87.18,38.8,71.99,2.49,16.88,1100,18,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3835.79,0.83,0.84
2005,Mizoram,Rabi,Laterite,5.68,113.41,12.66,50.78,2.68,14.45,2200,14,"['Soybean', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,632.86,0.66,0.68
2017,Jammu & Kashmir,Rabi,Mountain,7.19,69.77,26.62,55.94,3.54,11.13,900,20,"['Rice', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1330.88,0.71,0.71
2003,Chhattisgarh,Zaid,Red,5.61,93.83,18.24,59.77,1.79,16.51,1300,25,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2431.35,0.66,0.67
2001,Haryana,Kharif,Alluvial,7.28,129.97,20.96,79.32,3.22,23.71,700,24,"['Rice', 'Chickpea', 'Chili']",Rice,140,1500,40,60,100,4000,1866.67,0.91,0.91
2012,Assam,Zaid,Alluvial,6.94,94.43,22.18,69.52,4.3,24.26,2200,18,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,11091.1,0.88,0.89
2001,Karnataka,Kharif,Laterite,5.54,108.11,21.97,43.07,2.64,6.2,900,23,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,1757.38,0.6,0.6
2020,Madhya Pradesh,Rabi,Red,5.95,76.23,20.5,51.89,2.39,13.89,1000,27,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1229.82,0.64,0.65
2016,Karnataka,Kharif,Alluvial,7.14,107.28,28.89,50.44,3.76,16.68,900,23,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,4952.3,0.81,0.81
2001,Gujarat,Kharif,Sandy,5.54,68.54,13.8,45.9,1.52,9.79,800,30,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1379.79,0.51,0.51
2011,Delhi,Rabi,Alluvial,7.05,87.45,30.53,57.38,3.43,18.94,700,24,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1831.95,0.81,0.81
2013,West Bengal,Kharif,Laterite,5.65,105.91,24.33,30.55,1.39,5.08,1500,20,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,2036.47,0.54,0.54
2014,Nagaland,Rabi,Laterite,5.1,82.17,23.91,31.81,2.87,8.52,1800,16,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1195.28,0.57,0.57
2003,Karnataka,Zaid,Laterite,5.31,82.84,14.27,39.22,2.61,10.39,900,23,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,7136.55,0.56,0.57
2003,Daman and Diu,Zaid,Alluvial,6.62,115.88,28.0,79.3,4.47,20.22,800,27,"['Maize', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,8399.43,0.92,0.93
2011,Uttar Pradesh,Rabi,Alluvial,6.76,89.07,30.5,71.27,2.32,20.67,800,22,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1830.2,0.81,0.81
2003,Manipur,Zaid,Forest,6.11,86.98,21.74,72.63,6.87,25.26,1800,17,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6522.23,0.95,0.96
2012,Delhi,Zaid,Alluvial,7.11,110.08,36.38,76.53,2.68,17.12,700,24,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,17298.38,0.87,0.88
2009,Karnataka,Zaid,Laterite,5.82,115.0,15.3,37.11,2.56,7.75,900,23,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4590.4,0.59,0.61
2006,Meghalaya,Zaid,Red,5.67,93.38,16.43,58.72,1.9,15.87,2500,15,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4929.91,0.65,0.66
2002,Nagaland,Rabi,Laterite,5.23,113.46,17.09,46.06,1.36,8.12,1800,16,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,854.67,0.56,0.58
2006,Arunachal Pradesh,Zaid,Laterite,5.99,97.33,13.48,41.73,2.19,9.97,2500,15,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4043.76,0.58,0.59
2002,Rajasthan,Rabi,Alluvial,6.52,109.85,33.52,63.28,3.34,22.25,400,35,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1200.0,0.88,0.88
2013,Lakshadweep,Kharif,Coral,7.09,22.08,8.62,7.89,0.64,0.4,1500,32,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,526.13,0.28,0.28
2000,Sikkim,Zaid,Mountain,6.66,83.83,18.02,41.01,2.69,16.17,2000,17,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2403.17,0.66,0.67
2001,Delhi,Kharif,Alluvial,7.18,113.48,21.4,69.21,2.81,20.93,700,24,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,3668.34,0.83,0.83
2011,Daman and Diu,Rabi,Sandy,6.34,62.97,13.33,40.08,1.99,11.62,800,27,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,799.8,0.54,0.55
2001,Lakshadweep,Kharif,Coral,7.63,28.93,6.67,7.9,0.54,4.81,1500,32,"['Groundnut', 'Chickpea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,316.1,0.32,0.32
2014,Sikkim,Rabi,Mountain,6.52,68.04,20.72,32.9,2.9,17.56,2000,17,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1242.99,0.65,0.65
2011,Nagaland,Rabi,Laterite,5.02,119.06,17.12,41.48,1.24,14.74,1800,16,"['Soybean', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,856.16,0.61,0.62
2019,Gujarat,Kharif,Alluvial,6.59,126.35,30.8,75.26,3.56,21.24,800,30,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2133.33,0.91,0.91
2006,Tamil Nadu,Zaid,Red,5.62,103.23,24.13,55.21,1.32,10.63,950,27,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3216.97,0.63,0.64
2017,Meghalaya,Rabi,Laterite,5.83,87.08,15.71,40.39,1.48,10.1,2500,15,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,785.68,0.54,0.54
2003,Tamil Nadu,Zaid,Red,5.89,103.67,17.43,63.59,2.15,15.67,950,27,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2323.53,0.69,0.71
2011,Rajasthan,Rabi,Saline,8.37,57.92,6.16,26.35,0.88,9.39,400,35,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,308.18,0.47,0.48
2005,Karnataka,Rabi,Laterite,5.15,77.06,13.18,54.56,1.65,5.23,900,23,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,658.99,0.5,0.5
2002,Himachal Pradesh,Rabi,Laterite,5.86,87.3,24.63,49.23,2.64,6.33,1200,16,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1478.05,0.61,0.61
2003,Uttarakhand,Zaid,Mountain,7.43,84.25,12.78,56.95,3.66,13.18,1100,18,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,1704.53,0.7,0.71
2005,Telangana,Rabi,Alluvial,7.46,87.32,27.35,52.05,2.08,16.35,800,28,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1641.04,0.73,0.73
2011,Delhi,Rabi,Alluvial,6.61,128.29,28.65,59.35,3.52,19.4,700,24,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1432.5,0.86,0.88
2005,Tamil Nadu,Rabi,Red,6.06,60.02,15.27,58.08,1.73,13.86,950,27,"['Groundnut', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,763.27,0.59,0.59
2001,Assam,Kharif,Alluvial,7.48,102.99,21.16,79.85,2.17,21.95,2200,18,"['Maize', 'Pigeon Pea', 'Chili']",Maize,110,600,35,50,80,6000,3627.99,0.83,0.83
2018,Uttarakhand,Zaid,Alluvial,7.19,88.53,21.49,73.48,2.8,16.78,1100,18,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2149.26,0.77,0.78
2000,Goa,Zaid,Sandy,6.44,70.38,19.97,44.42,1.62,8.06,3000,28,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2662.26,0.55,0.56
2005,West Bengal,Rabi,Laterite,5.37,91.3,11.96,56.6,1.9,6.95,1500,20,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,717.64,0.54,0.54
2013,Lakshadweep,Kharif,Sandy,6.13,57.08,13.87,48.91,1.25,6.34,1500,32,"['Maize', 'Chickpea', 'Chili']",Maize,110,600,35,50,80,6000,2377.85,0.48,0.48
2005,Rajasthan,Rabi,Saline,7.51,37.79,12.6,12.74,1.04,6.08,400,35,"['Maize', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,509.69,0.4,0.4
2017,Goa,Rabi,Sandy,5.9,75.17,11.99,21.94,1.04,8.71,3000,28,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,599.43,0.45,0.46
2010,Tamil Nadu,Kharif,Alluvial,6.82,102.72,36.89,52.94,3.46,16.5,950,27,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2950.97,0.82,0.82
